"#Compound List: 9080 found, 1566 shown, filtered on MS/MS Count"
#
Show/Hide,Label,Mass,RT,Avg Mass,Height,Area,Ion Polarity,Base Peak,Z Count,Saturated,Algorithm,End,FV,Abund,MS/MS Count,File,Volume,Formula,Precursor,CE,m/z (Prod),Width,Max Z,Ions,Min Z,ID Source,ID Techniques Applied,Score,Start,Cpd,Name,Hit Count,CAS ID,HMP ID,KEGG ID,Lipid ID,METLIN ID,Swiss-Prot,Notes,Mass (Tgt),Diff (ppm),Score (Tgt),Flags (Tgt),Diff (mDa),RT (Tgt),Target Retention Time Difference,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),FIs Eval.,Source,Flag Severity (Tgt),Vol %,Std Dev,Group,Cpds/Group,Score (MFE),Score (DB),Reference mass,Reference Retention Time,RT Diff,Hits (DB),Common Hit Count,Relative Reference Mass difference,Reference Mass difference
True,Cpd 509: 8.327,493.341,8.327,,23222,80775,Positive,59.0602,1,,Find by Formula,8.512,,15456,3,PQC_Prfrd opt Iterative-r001.d,,,494.3477,,,0.052,1,2,1,FBF,FBF,91.06,8.243,509,,1,,,,,,,,493.3406,0.82,91.06,,0.4,8.341,-0.014,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 510: 9.923,397.3186,9.923,,15023,89445,Positive,59.0602,1,,Find by Formula,10.126,,6205,3,PQC_Prfrd opt Iterative-r001.d,,,398.3265,,,0.075,1,2,1,FBF,FBF,91.82,9.762,510,,1,,,,,,,,397.3188,-0.28,91.82,,-0.11,9.921,0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 511: 7.425,382.3197,7.425,,25242,96592,Positive,379.2954,1,,Find by Formula,7.607,,14626,3,PQC_Prfrd opt Iterative-r001.d,,,383.3269,,,0.057,1,2,1,FBF,FBF,91.1,7.336,511,,1,,,,,,,,382.3195,0.37,91.1,,0.14,7.427,-0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 512: 12.346,353.3291,12.346,,11405,54807,Positive,59.0602,1,,Find by Formula,12.521,,6261,3,PQC_Prfrd opt Iterative-r001.d,,,354.3368,,,0.07,1,2,1,FBF,FBF,91.69,12.268,512,,1,,,,,,,,353.3291,0.05,91.69,,0.02,12.342,0.004,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 513: 9.942,430.3045,9.942,,84231,462307,Positive,59.0602,1,,Find by Formula,10.21,,14830,3,PQC_Prfrd opt Iterative-r001.d,,,431.3114,,,0.076,1,4,1,FBF,FBF,74.35,9.793,513,,1,,,,,,,,430.3045,0.15,74.35,low score,0.06,10.036,-0.094,,,,,,,,Warning,,,,,,,,,,,,,,
True,Cpd 515: 9.667,301.2978,9.667,,11918,55828,Positive,59.0601,1,,Find by Formula,9.969,,6825,3,PQC_Prfrd opt Iterative-r001.d,,,302.3053,,,0.072,1,2,1,FBF,FBF,91.43,9.615,515,,1,,,,,,,,301.2979,-0.38,91.43,,-0.12,9.667,0,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 519: 8.073,1084.5411,8.073,,16085,69176,Positive,59.0602,1,,Find by Formula,8.3,,5373,3,PQC_Prfrd opt Iterative-r001.d,,,1085.5522,,,0.063,1,3,1,FBF,FBF,96.11,7.994,519,,1,,,,,,,,1084.5435,-2.17,96.11,,-2.36,8.084,-0.011,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 520: 4.535,564.1481,4.535,,27861,112522,Positive,539.3228,1,,Find by Formula,4.568,,19721,3,PQC_Prfrd opt Iterative-r001.d,,,565.1549,,,0.092,1,2,1,FBF,FBF,91.59,4.452,520,,1,,,,,,,,564.1479,0.29,91.59,,0.16,4.53,0.005,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 521: 6.090,320.1737,6.09,,24213,89509,Positive,255.0653,1,,Find by Formula,6.326,,14830,3,PQC_Prfrd opt Iterative-r001.d,,,321.1807,,,0.058,1,3,1,FBF,FBF,91.43,6.009,521,,1,,,,,,,,320.1736,0.24,91.43,,0.08,6.093,-0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 522: 3.775,436.2313,3.775,,10914,38577,Positive,368.1273,1,,Find by Formula,3.888,,7074,3,PQC_Prfrd opt Iterative-r001.d,,,437.2389,,,0.058,1,2,1,FBF,FBF,88.5,3.713,522,,1,,,,,,,,436.2319,-1.32,88.5,,-0.57,3.773,0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 524: 6.852,270.0521,6.852,,17444,78352,Positive,506.2782,1,,Find by Formula,7.157,,10174,3,PQC_Prfrd opt Iterative-r001.d,,,271.0602,,,0.065,1,2,1,FBF,FBF,89.53,6.744,524,,1,,,,,,,,270.0524,-1.24,89.53,,-0.33,6.863,-0.011,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 525: 12.871,627.1897,12.871,,30650,120840,Positive,59.0602,1,,Find by Formula,13.093,,10854,3,PQC_Prfrd opt Iterative-r001.d,,,628.1949,,,0.055,1,3,1,FBF,FBF,94.93,12.75,525,,1,,,,,,,,627.1879,2.87,94.93,,1.8,12.867,0.004,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 527: 7.963,810.4749,7.963,,6828,27725,Positive,59.0602,1,,Find by Formula,8.011,,1218,3,PQC_Prfrd opt Iterative-r001.d,,,811.4831,,,0.072,1,4,1,FBF,FBF,91.38,7.912,527,,1,,,,,,,,810.4755,-0.77,91.38,,-0.62,7.966,-0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 528: 9.295,469.339,9.295,,15027,58704,Positive,440.2774,1,,Find by Formula,9.443,,8199,3,PQC_Prfrd opt Iterative-r001.d,,,470.3479,,,0.055,1,2,1,FBF,FBF,91.23,9.211,528,,1,,,,,,,,469.3396,-1.23,91.23,,-0.58,9.296,-0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 529: 3.447,280.1424,3.447,,24478,109593,Positive,220.1179,1,,Find by Formula,3.706,,13107,3,PQC_Prfrd opt Iterative-r001.d,,,281.1496,,,0.063,1,2,1,FBF,FBF,91.74,3.367,529,,1,,,,,,,,280.1423,0.38,91.74,,0.11,3.453,-0.006,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 532: 9.649,454.2698,9.649,,7231,33931,Positive,59.0601,1,,Find by Formula,9.806,,3882,3,PQC_Prfrd opt Iterative-r001.d,,,455.2769,,,0.071,1,2,1,FBF,FBF,91.16,9.586,532,,1,,,,,,,,454.2697,0.28,91.16,,0.13,9.654,-0.005,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 533: 11.683,462.1238,11.683,,12740,55266,Positive,59.0602,1,,Find by Formula,11.871,,2229,3,PQC_Prfrd opt Iterative-r001.d,,,480.157,,,0.062,1,6,1,FBF,FBF,98.08,11.557,533,,1,,,,,,,,462.1234,0.9,98.08,,0.41,11.68,0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 535: 13.407,462.3703,13.407,,38541,263549,Positive,60.0442,1,,Find by Formula,13.734,,22115,3,PQC_Prfrd opt Iterative-r001.d,,,463.3778,,,0.104,1,2,1,FBF,FBF,89.77,13.25,535,,1,,,,,,,,462.3707,-0.93,89.77,,-0.43,13.432,-0.025,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 536: 5.128,607.3745,5.128,,15828,63766,Positive,118.0862,1,,Find by Formula,5.34,,9847,3,PQC_Prfrd opt Iterative-r001.d,,,608.385,,,0.061,1,2,1,FBF,FBF,87.26,5.056,536,,1,,,,,,,,607.3762,-2.69,87.26,,-1.63,5.136,-0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 539: 3.967,297.0894,3.967,,11787,44394,Positive,118.0863,1,,Find by Formula,4.177,,7158,3,PQC_Prfrd opt Iterative-r001.d,,,298.0968,,,0.06,1,2,1,FBF,FBF,91.41,3.889,539,,1,,,,,,,,297.0895,-0.33,91.41,,-0.1,3.972,-0.005,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 541: 11.087,371.283,11.087,,19323,80419,Positive,678.4788,1,,Find by Formula,11.261,,9280,3,PQC_Prfrd opt Iterative-r001.d,,,372.2899,,,0.058,1,2,1,FBF,FBF,91.53,10.983,541,,1,,,,,,,,371.2825,1.23,91.53,,0.46,11.087,0,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 543: 9.777,641.4122,9.777,,12284,58840,Positive,59.0602,1,,Find by Formula,9.932,,5421,3,PQC_Prfrd opt Iterative-r001.d,,,642.4205,,,0.076,1,2,1,FBF,FBF,91.27,9.68,543,,1,,,,,,,,641.4128,-0.86,91.27,,-0.55,9.785,-0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 548: 2.801,288.1326,2.801,,35445,164771,Positive,294.1546,1,,Find by Formula,3.042,,20228,3,PQC_Prfrd opt Iterative-r001.d,,,289.1398,,,0.062,1,2,1,FBF,FBF,91.23,2.729,548,,1,,,,,,,,288.1322,1.3,91.23,,0.38,2.8,0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 549: 12.635,417.3372,12.635,,11424,49654,Positive,59.0602,1,,Find by Formula,12.782,,6184,3,PQC_Prfrd opt Iterative-r001.d,,,418.3441,,,0.08,1,2,1,FBF,FBF,89.87,12.589,549,,1,,,,,,,,417.3371,0.22,89.87,,0.09,12.632,0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 552: 7.349,816.5752,7.349,,7241,30707,Positive,379.2954,1,,Find by Formula,7.523,,1263,3,PQC_Prfrd opt Iterative-r001.d,,,817.5817,,,0.061,1,4,1,FBF,FBF,88.36,7.259,552,,1,,,,,,,,816.5753,-0.16,88.36,,-0.13,7.359,-0.01,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 553: 5.360,172.0637,5.36,,8248,33575,Positive,118.0862,1,,Find by Formula,5.584,,4521,3,PQC_Prfrd opt Iterative-r001.d,,,173.0709,,,0.06,1,2,1,FBF,FBF,91.9,5.272,553,,1,,,,,,,,172.0636,0.51,91.9,,0.09,5.358,0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 556: 5.259,254.0578,5.259,,22483,95826,Positive,350.1169,1,,Find by Formula,5.481,,13182,3,PQC_Prfrd opt Iterative-r001.d,,,255.0652,,,0.062,1,2,1,FBF,FBF,91.02,5.128,556,,1,,,,,,,,254.0578,-0.14,91.02,,-0.04,5.247,0.012,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 557: 11.570,435.3353,11.57,,17823,76341,Positive,59.0602,1,,Find by Formula,11.835,,9009,3,PQC_Prfrd opt Iterative-r001.d,,,436.3421,,,0.056,1,2,1,FBF,FBF,91.18,11.499,557,,1,,,,,,,,435.335,0.8,91.18,,0.35,11.58,-0.01,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 559: 4.908,519.3229,4.908,,23367,85138,Positive,493.2807,1,,Find by Formula,5.117,,13496,3,PQC_Prfrd opt Iterative-r001.d,,,520.3324,,,0.05,1,2,1,FBF,FBF,89.15,4.826,559,,1,,,,,,,,519.3241,-2.36,89.15,,-1.23,4.906,0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 562: 5.421,722.4272,5.421,,21795,93145,Positive,118.0862,2,,Find by Formula,5.612,,5782,3,PQC_Prfrd opt Iterative-r001.d,,,379.2487,,,0.065,2,4,1,FBF,FBF,90.18,5.301,562,,1,,,,,,,,722.4288,-2.13,90.18,,-1.54,5.417,0.004,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 563: 13.407,462.3703,13.407,,37629,242779,Positive,60.0442,1,,Find by Formula,13.63,,23791,3,PQC_Prfrd opt Iterative-r001.d,,,463.3778,,,0.102,1,2,1,FBF,FBF,91.46,13.287,563,,1,,,,,,,,462.3706,-0.68,91.46,,-0.32,13.396,0.011,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 565: 12.223,419.323,12.223,,33161,193076,Positive,59.0602,1,,Find by Formula,12.577,,13294,3,PQC_Prfrd opt Iterative-r001.d,,,420.3318,,,0.062,1,2,1,FBF,FBF,90.57,12.168,565,,1,,,,,,,,419.3239,-2.08,90.57,,-0.87,12.225,-0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 567: 10.667,509.3488,10.667,,5971,27203,Positive,722.4794,1,,Find by Formula,10.749,,3617,3,PQC_Prfrd opt Iterative-r001.d,,,510.356,,,0.071,1,2,1,FBF,FBF,89.4,10.597,567,,1,,,,,,,,509.3486,0.46,89.4,,0.24,10.687,-0.02,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 568: 0.947,385.1585,0.947,,4619,26652,Positive,104.107,1,,Find by Formula,1.195,,1944,3,PQC_Prfrd opt Iterative-r001.d,,,386.1658,,,0.066,1,2,1,FBF,FBF,90.73,0.847,568,,1,,,,,,,,385.1584,0.43,90.73,,0.16,0.969,-0.022,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 570: 8.869,357.2871,8.869,,12655,53435,Positive,59.0602,1,,Find by Formula,8.982,,6690,3,PQC_Prfrd opt Iterative-r001.d,,,358.2949,,,0.061,1,2,1,FBF,FBF,89.69,8.756,570,,1,,,,,,,,357.2874,-0.59,89.69,,-0.21,8.88,-0.011,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 572: 9.507,454.2682,9.507,,7281,35416,Positive,59.0602,1,,Find by Formula,9.586,,3823,3,PQC_Prfrd opt Iterative-r001.d,,,455.2768,,,0.078,1,2,1,FBF,FBF,89.1,9.41,572,,1,,,,,,,,454.2689,-1.49,89.1,,-0.68,9.507,0,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 576: 6.622,399.262,6.622,,17186,73572,Positive,59.0602,1,,Find by Formula,6.681,,10620,3,PQC_Prfrd opt Iterative-r001.d,,,400.2697,,,0.07,1,2,1,FBF,FBF,91.08,6.517,576,,1,,,,,,,,399.2619,0.34,91.08,,0.14,6.626,-0.004,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 578: 10.946,425.3493,10.946,,14684,74668,Positive,766.5313,1,,Find by Formula,11.048,,7925,3,PQC_Prfrd opt Iterative-r001.d,,,426.3578,,,0.076,1,2,1,FBF,FBF,89.78,10.829,578,,1,,,,,,,,425.3494,-0.19,89.78,,-0.08,10.949,-0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 580: 3.787,324.1328,3.787,,16488,82280,Positive,368.1274,1,,Find by Formula,3.932,,8412,3,PQC_Prfrd opt Iterative-r001.d,,,325.14,,,0.066,1,2,1,FBF,FBF,87.24,3.737,580,,1,,,,,,,,324.1327,0.34,87.24,,0.11,3.792,-0.005,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 581: 12.577,243.1833,12.577,,7149,37205,Positive,59.0602,1,,Find by Formula,12.758,,3014,3,PQC_Prfrd opt Iterative-r001.d,,,244.1908,,,0.057,1,2,1,FBF,FBF,75.83,12.413,581,,1,,,,,,,,243.1834,-0.39,75.83,,-0.09,12.486,0.091,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 582: 10.781,566.3226,10.781,,5001,35452,Positive,700.4662,1,,Find by Formula,11.059,,1061,3,PQC_Prfrd opt Iterative-r001.d,,,567.329,,,0.076,1,3,1,FBF,FBF,83.07,10.601,582,,1,,,,,,,,566.3227,-0.29,83.07,,-0.17,10.795,-0.014,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 591: 1.500,302.1475,1.5,,12144,63633,Positive,104.107,1,,Find by Formula,1.731,,6331,3,PQC_Prfrd opt Iterative-r001.d,,,303.155,,,0.076,1,2,1,FBF,FBF,85.24,1.387,591,,1,,,,,,,,302.1477,-0.76,85.24,,-0.23,1.506,-0.006,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 592: 7.223,394.283,7.223,,18801,99979,Positive,59.0602,1,,Find by Formula,7.504,,10519,3,PQC_Prfrd opt Iterative-r001.d,,,395.2904,,,0.079,1,2,1,FBF,FBF,91.19,7.142,592,,1,,,,,,,,394.283,-0.11,91.19,,-0.04,7.239,-0.016,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 593: 10.999,608.3936,10.999,,18340,89605,Positive,722.505,1,,Find by Formula,11.105,,4396,3,PQC_Prfrd opt Iterative-r001.d,,,626.4263,,,0.132,1,4,1,FBF,FBF,91.5,10.946,593,,1,,,,,,,,608.395,-2.16,91.5,,-1.31,10.991,0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 594: 7.492,768.4653,7.492,,7196,36847,Positive,59.0602,1,,Find by Formula,7.689,,1144,3,PQC_Prfrd opt Iterative-r001.d,,,786.4996,,,0.069,1,4,1,FBF,FBF,86.35,7.411,594,,1,,,,,,,,768.4652,0.19,86.35,,0.14,7.487,0.005,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 595: 12.083,548.2428,12.083,,18364,69876,Positive,59.0602,1,,Find by Formula,12.141,,7524,3,PQC_Prfrd opt Iterative-r001.d,,,549.25,,,0.061,1,2,1,FBF,FBF,90.32,11.997,595,,1,,,,,,,,548.2424,0.73,90.32,,0.4,12.083,0,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 601: 9.985,713.4003,9.985,,12931,77256,Positive,496.3399,1,,Find by Formula,10.267,,4068,3,PQC_Prfrd opt Iterative-r001.d,,,714.4093,,,0.072,1,2,1,FBF,FBF,90.9,9.83,601,,1,,,,,,,,713.401,-0.96,90.9,,-0.68,9.995,-0.01,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 602: 8.479,634.408,8.479,,4652,21191,Positive,59.0602,1,,Find by Formula,8.656,,1873,3,PQC_Prfrd opt Iterative-r001.d,,,652.4413,,,0.072,1,2,1,FBF,FBF,91.09,8.373,602,,1,,,,,,,,634.4081,-0.18,91.09,No H adduct,-0.11,8.491,-0.012,,,,,,,,Warning,,,,,,,,,,,,,,
True,Cpd 604: 6.984,330.0731,6.984,,9932,43246,Positive,59.0602,1,,Find by Formula,7.193,,5237,3,PQC_Prfrd opt Iterative-r001.d,,,331.0811,,,0.061,1,2,1,FBF,FBF,88.22,6.885,604,,1,,,,,,,,330.0735,-1.16,88.22,,-0.38,6.983,0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 605: 4.920,296.1356,4.92,,12409,44351,Positive,493.2808,1,,Find by Formula,5.133,,11176,3,PQC_Prfrd opt Iterative-r001.d,,,297.1443,,,0.054,1,2,1,FBF,FBF,90.27,4.871,605,,1,,,,,,,,296.1364,-2.52,90.27,,-0.75,4.928,-0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 606: 7.079,332.2566,7.079,,18828,74400,Positive,59.0602,1,,Find by Formula,7.243,,9063,3,PQC_Prfrd opt Iterative-r001.d,,,333.2633,,,0.058,1,3,1,FBF,FBF,91.11,7.014,606,,1,,,,,,,,332.2564,0.45,91.11,,0.15,7.09,-0.011,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 607: 3.508,296.1369,3.508,,15380,76604,Positive,220.1179,1,,Find by Formula,3.635,,9990,3,PQC_Prfrd opt Iterative-r001.d,,,297.1445,,,0.066,1,2,1,FBF,FBF,91.39,3.351,607,,1,,,,,,,,296.1371,-0.49,91.39,,-0.15,3.51,-0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 608: 0.907,295.0903,0.907,,5979,48553,Positive,104.107,1,,Find by Formula,1.482,,1164,3,PQC_Prfrd opt Iterative-r001.d,,,296.0975,,,0.076,1,3,1,FBF,FBF,91.69,0.844,608,,1,,,,,,,,295.0903,0.18,91.69,,0.05,0.91,-0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 610: 9.697,567.3345,9.697,,8016,38947,Positive,59.0602,1,,Find by Formula,9.892,,2760,3,PQC_Prfrd opt Iterative-r001.d,,,568.3397,,,0.066,1,2,1,FBF,FBF,90.64,9.633,610,,1,,,,,,,,567.3335,1.75,90.64,,0.99,9.702,-0.005,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 613: 3.274,327.1795,3.274,,10223,44637,Positive,166.0864,1,,Find by Formula,3.408,,5940,3,PQC_Prfrd opt Iterative-r001.d,,,328.187,,,0.067,1,2,1,FBF,FBF,91.25,3.191,613,,1,,,,,,,,327.1792,0.9,91.25,,0.29,3.272,0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 615: 11.557,550.2575,11.557,,11334,45494,Positive,502.3162,1,,Find by Formula,11.702,,4718,3,PQC_Prfrd opt Iterative-r001.d,,,551.2653,,,0.061,1,2,1,FBF,FBF,91.65,11.484,615,,1,,,,,,,,550.2575,-0.08,91.65,,-0.04,11.567,-0.01,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 617: 4.259,233.1262,4.259,,7491,29599,Positive,556.2976,1,,Find by Formula,4.393,,4245,3,PQC_Prfrd opt Iterative-r001.d,,,234.1336,,,0.063,1,2,1,FBF,FBF,90.31,4.18,617,,1,,,,,,,,233.1261,0.28,90.31,,0.07,4.259,0,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 621: 6.133,596.2807,6.133,,27357,90547,Positive,441.2023,1,,Find by Formula,6.185,,13501,3,PQC_Prfrd opt Iterative-r001.d,,,597.2879,,,0.053,1,3,1,FBF,FBF,90.8,6.036,621,,1,,,,,,,,596.2802,0.86,90.8,,0.51,6.143,-0.01,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 624: 2.790,284.148,2.79,,22502,98311,Positive,294.1546,1,,Find by Formula,2.961,,11878,3,PQC_Prfrd opt Iterative-r001.d,,,285.1555,,,0.059,1,2,1,FBF,FBF,91.1,2.716,624,,1,,,,,,,,284.1482,-0.47,91.1,,-0.13,2.785,0.005,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 625: 4.766,475.299,4.766,,30983,103407,Positive,442.27,1,,Find by Formula,5.001,,20966,3,PQC_Prfrd opt Iterative-r001.d,,,476.3063,,,0.047,1,2,1,FBF,FBF,91.69,4.693,625,,1,,,,,,,,475.299,-0.16,91.69,,-0.08,4.774,-0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 626: 8.923,369.2872,8.923,,7443,28739,Positive,59.0602,1,,Find by Formula,8.959,,4763,3,PQC_Prfrd opt Iterative-r001.d,,,370.2952,,,0.065,1,2,1,FBF,FBF,89.14,8.841,626,,1,,,,,,,,369.2875,-0.73,89.14,,-0.27,8.926,-0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 627: 2.779,203.1268,2.779,,20717,106170,Positive,294.1547,1,,Find by Formula,3.086,,6411,3,PQC_Prfrd opt Iterative-r001.d,,,204.1343,,,0.065,1,2,1,FBF,FBF,64.5,2.716,627,,1,,,,,,,,203.1268,-0.14,64.5,low score,-0.03,2.78,-0.001,,,,,,,,Warning,,,,,,,,,,,,,,
True,Cpd 628: 10.010,801.4527,10.01,,12618,78944,Positive,496.3399,1,,Find by Formula,10.21,,2376,3,PQC_Prfrd opt Iterative-r001.d,,,819.4876,,,0.082,1,3,1,FBF,FBF,75.68,9.854,628,,1,,,,,,,,801.4534,-0.85,75.68,,-0.68,10.03,-0.02,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 630: 8.401,328.2248,8.401,,13420,55076,Positive,59.0602,1,,Find by Formula,8.56,,3864,3,PQC_Prfrd opt Iterative-r001.d,,,346.2589,,,0.06,1,4,1,FBF,FBF,91.38,8.32,630,,1,,,,,,,,328.2248,-0.07,91.38,,-0.02,8.402,-0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 631: 6.717,956.495,6.717,,19199,93688,Positive,59.0603,1,,Find by Formula,7.033,,6950,3,PQC_Prfrd opt Iterative-r001.d,,,957.5048,,,0.065,1,2,1,FBF,FBF,88.14,6.609,631,,1,,,,,,,,956.4969,-2.04,88.14,,-1.95,6.722,-0.005,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 636: 6.936,346.2357,6.936,,20889,82901,Positive,59.0602,1,,Find by Formula,7.142,,6115,3,PQC_Prfrd opt Iterative-r001.d,,,347.243,,,0.059,1,3,1,FBF,FBF,88.92,6.852,636,,1,,,,,,,,346.2355,0.64,88.92,,0.22,6.942,-0.006,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 638: 13.611,567.4194,13.611,,17127,225053,Positive,60.0442,1,,Find by Formula,13.937,,7915,3,PQC_Prfrd opt Iterative-r001.d,,,568.4269,,,0.241,1,2,1,FBF,FBF,91.23,13.381,638,,1,,,,,,,,567.4197,-0.45,91.23,,-0.26,13.619,-0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 640: 7.173,347.2674,7.173,,11750,66197,Positive,59.0602,1,,Find by Formula,7.343,,7528,3,PQC_Prfrd opt Iterative-r001.d,,,348.2746,,,0.089,1,2,1,FBF,FBF,91.58,7.085,640,,1,,,,,,,,347.2673,0.36,91.58,,0.12,7.175,-0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 642: 8.982,309.2672,8.982,,8059,33402,Positive,59.0602,1,,Find by Formula,9.146,,3455,3,PQC_Prfrd opt Iterative-r001.d,,,310.2739,,,0.054,1,2,1,FBF,FBF,89.08,8.824,642,,1,,,,,,,,309.267,0.57,89.08,,0.17,8.988,-0.006,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 646: 6.501,308.0798,6.501,,21628,91643,Positive,59.0601,1,,Find by Formula,6.782,,14135,3,PQC_Prfrd opt Iterative-r001.d,,,309.0869,,,0.065,1,2,1,FBF,FBF,91.19,6.417,646,,1,,,,,,,,308.0796,0.66,91.19,,0.2,6.514,-0.013,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 648: 1.319,521.1953,1.319,,52432,542414,Positive,104.107,1,,Find by Formula,1.534,,33252,3,PQC_Prfrd opt Iterative-r001.d,,,522.2029,,,0.138,1,3,1,FBF,FBF,66.4,1.133,648,,1,,,,,,,,521.1953,-0.05,66.4,low score,-0.03,1.462,-0.143,,,,,,,,Warning,,,,,,,,,,,,,,
True,Cpd 651: 0.815,250.1528,0.815,,15200,56929,Positive,64.0155,1,,Find by Formula,1,,8428,3,PQC_Prfrd opt Iterative-r001.d,,,251.1603,,,0.055,1,2,1,FBF,FBF,91.46,0.759,651,,1,,,,,,,,250.1527,0.35,91.46,,0.09,0.813,0.002,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 653: 8.445,501.3803,8.445,,2610,11195,Positive,59.0601,1,,Find by Formula,8.651,,1575,3,PQC_Prfrd opt Iterative-r001.d,,,502.3885,,,0.064,1,2,1,FBF,FBF,84.28,8.39,653,,1,,,,,,,,501.3814,-2.22,84.28,,-1.11,8.45,-0.005,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 657: 12.549,417.3369,12.549,,16574,53750,Positive,59.0602,1,,Find by Formula,12.589,,9841,3,PQC_Prfrd opt Iterative-r001.d,,,418.3441,,,0.056,1,2,1,FBF,FBF,91.7,12.461,657,,1,,,,,,,,417.3368,0.25,91.7,,0.11,12.552,-0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 658: 5.746,244.1309,5.746,,9737,42318,Positive,59.0603,1,,Find by Formula,5.873,,1857,3,PQC_Prfrd opt Iterative-r001.d,,,262.1648,,,0.061,1,3,1,FBF,FBF,64.19,5.675,658,,1,,,,,,,,244.1309,0.02,64.19,low score,0,5.757,-0.011,,,,,,,,Warning,,,,,,,,,,,,,,
