"#Compound List: 9080 found, 1566 shown, filtered on MS/MS Count"
#
Show/Hide,Label,Mass,RT,Avg Mass,Height,Area,Ion Polarity,Base Peak,Z Count,Saturated,Algorithm,End,FV,Abund,MS/MS Count,File,Volume,Formula,Precursor,CE,m/z (Prod),Width,Max Z,Ions,Min Z,ID Source,ID Techniques Applied,Score,Start,Cpd,Name,Hit Count,CAS ID,HMP ID,KEGG ID,Lipid ID,METLIN ID,Swiss-Prot,Notes,Mass (Tgt),Diff (ppm),Score (Tgt),Flags (Tgt),Diff (mDa),RT (Tgt),Target Retention Time Difference,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),FIs Eval.,Source,Flag Severity (Tgt),Vol %,Std Dev,Group,Cpds/Group,Score (MFE),Score (DB),Reference mass,Reference Retention Time,RT Diff,Hits (DB),Common Hit Count,Relative Reference Mass difference,Reference Mass difference
True,Cpd 31: 1.692,136.0385,1.692,,298130,2163940,Positive,137.0458,1,,Find by Formula,2.139,,118035,6,PQC_Prfrd opt Iterative-r001.d,,,137.0458,,,0.095,1,7,1,FBF,FBF,91.86,1.592,31,,1,,,,,,,,136.0385,-0.05,91.86,,-0.01,1.697,-0.005,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 37: 13.216,337.3343,13.216,,279280,1124180,Positive,338.3415,1,,Find by Formula,13.482,,62259,6,PQC_Prfrd opt Iterative-r001.d,,,338.3415,,,0.063,1,6,1,FBF,FBF,99.69,13.122,37,,1,,,,,,,,337.3344,-0.19,99.69,,-0.06,13.217,-0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 43: 1.027,301.2366,1.027,,226713,1255000,Positive,104.1069,2,,Find by Formula,1.11,,112505,6,PQC_Prfrd opt Iterative-r001.d,,,151.6256,,,0.123,2,6,1,FBF,FBF,99.9,0.947,43,,1,,,,,,,,301.2366,-0.15,99.9,,-0.05,1.021,0.006,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 49: 2.817,293.1473,2.817,,136476,1576648,Positive,229.1547,1,,Find by Formula,3.351,,68032,6,PQC_Prfrd opt Iterative-r001.d,,,294.1547,,,0.171,1,4,1,FBF,FBF,99.59,2.589,49,,1,,,,,,,,293.1474,-0.33,99.59,,-0.1,2.829,-0.012,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 51: 5.627,612.2749,5.627,,548293,2413505,Positive,613.2823,1,,Find by Formula,5.926,,77814,6,PQC_Prfrd opt Iterative-r001.d,,,613.2823,,,0.058,1,8,1,FBF,FBF,99.4,5.563,51,,1,,,,,,,,612.275,-0.19,99.4,,-0.12,5.641,-0.014,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 67: 11.295,458.3762,11.295,,109485,439836,Positive,59.0601,1,,Find by Formula,11.502,,32200,6,PQC_Prfrd opt Iterative-r001.d,,,441.3728,,,0.064,1,7,1,FBF,FBF,99.4,11.22,67,,1,,,,,,,,458.3763,-0.21,99.4,,-0.09,11.304,-0.009,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 80: 9.279,439.2694,9.279,,122642,606181,Positive,59.0602,1,,Find by Formula,9.373,,56815,6,PQC_Prfrd opt Iterative-r001.d,,,440.2774,,,0.074,1,5,1,FBF,FBF,99.77,9.185,80,,1,,,,,,,,439.2691,0.6,99.77,,0.26,9.28,-0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 98: 13.093,444.3603,13.093,,83429,420629,Positive,429.3727,1,,Find by Formula,13.253,,29730,6,PQC_Prfrd opt Iterative-r001.d,,,445.3677,,,0.07,1,5,1,FBF,FBF,98.17,13.005,98,,1,,,,,,,,444.3601,0.4,98.17,,0.18,13.1,-0.007,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 100: 10.845,512.3097,10.845,,55037,253905,Positive,634.4268,1,,Find by Formula,11.015,,18419,6,PQC_Prfrd opt Iterative-r001.d,,,513.3188,,,0.066,1,10,1,FBF,FBF,97.91,10.749,100,,1,,,,,,,,512.3105,-1.52,97.91,,-0.78,10.842,0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 110: 1.319,504.1691,1.319,,81237,905922,Positive,104.107,1,,Find by Formula,1.592,,29624,6,PQC_Prfrd opt Iterative-r001.d,,,522.2029,,,0.142,1,7,1,FBF,FBF,99.18,1.122,110,,1,,,,,,,,504.169,0.14,99.18,,0.07,1.336,-0.017,,,,,,,,Pass,,,,,,,,,,,,,,
