Group	Mass (avg)	m/z	RT (avg)	RSD (Mass, ppm)	Found	Missed	Height (med)	Volume (med)	 %RSD (MFE)	Score (MFE,max)	Area(med)	 %RSD (Tgt)	Score(Tgt, max)	Mass (med)	Ions(min)	Ions(max)	Time Segment	RT (med)	RT(span)	RT (max width)	Height(min)	Height (avg)	Height(max)	Volume(min)	Volume (avg)	Volume(max)	Area(min)	Area(avg)	Area(max)	Mass (Tgt)	RT (Tgt)	RT Diff	Name	Formula	CAS	HMDB	LMP	Ampicillin-r001	Ampicillin-r002	Ampicillin-r003	Ampicillin-r004	Ampicillin-r005	Splenda-r001	Splenda-r002	Splenda-r003	Splenda-r004	Splenda-r005	Germ Free-r001	Germ Free-r002	Germ Free-r003	Metronidazole-r001	Metronidazole-r002	Metronidazole-r003	Metronidazole-r004	Metronidazole-r005	Neomycin-r001	Neomycin-r002	Neomycin-r003	Neomycin-r004	Neomycin-r005	Pooled QC of all replicates-r001	Pooled QC of all replicates-r002	Pooled QC of all replicates-r003	Pooled QC of all replicates-r004	Pooled QC of all replicates-r005	Pooled QC of all replicates-r006	Pooled QC of all replicates-r007	Vancomycin-r001	Vancomycin-r002	Vancomycin-r003	Vancomycin-r004	Vancomycin-r005
123	67.9873	90.9766	0.838	1.35	35	0	702479	0	2.8	86.16	1568132	0.1	64.52	67.9873	2	2	1	0.839	0.008	0.1	540305	691823	875996	0	0	0	1153699	1601969	2015498	67.9873	0.84	-0.001						1413648.84	1568132.79	1500819.69	1601814.01	1555073.88	1508513.98	1538611.53	1545402.41	1680134.36	1375092.89	1482386.27	1279959.43	1153699.13	1654101.56	1981714.8	1942275.53	1795750.9	1763752.03	1580502.68	1440898.44	1447096.99	1519238.53	1492097.55	1558176.54	1617605.78	1641583.91	1650354.59	1675491.4	1684207.94	1723063.28	1397767.16	1749822.34	2011017.73	1523608.37	2015498.03
124	540.3295	541.3384	4.401	6.02	34	1	232337	0	18.9	100	606560	26.7	99.98	540.3308	1	3	1	4.386	0.154	0.118	822	363240	1105608	0	0	0	2677	953580	2932743	540.331	4.385	0						4506.81	3797.37	3766.1	3687.64	2677.57	159566.6	189448.94	215150.8	372892.3	175476.06	10015.61	9966.43	11862.59	2044164.58	2900967.53	2515770.63	2428216.4	2932743.38	1684848.96	2640072.32	2393712.14	2526411.49	2650542.48	840227.84	859501.25	870762.37	887474.55	905972.52	926735.95	932481.26	71443.67	76704.58	68380.63	101772.45	2
125	633.4097	634.4188	10.548	5.22	35	0	242288	0	12.6	100	904669	11.9	91.85	633.4109	2	2	1	10.546	0.039	0.131	19921	222192	440977	0	0	0	75772	808739	1662379	633.411	10.546	0						971570.22	823645.92	1473314.19	934112.53	352013.59	842858.16	1662379.97	234026.75	1142883.82	154347.2	1128589.77	537608.21	1560915.45	75772.06	717301.1	1081466.64	337014.73	682304.51	590895.02	718735.45	1153445.37	843913.76	1112339.07	904669.68	939075.37	323787.12	980454.29	1006326.87	1027478.51	1043845.49	227792.96	272464.62	386547.61	1017960.08	1044034.01
126	427.2932	428.3007	7.476	1.1	33	2	206701	0	18.6	100	495381	9.9	99.99	427.2933	1	3	1	7.474	0.03	0.112	622	218300	842041	0	0	0	1705	523812	2008107	427.2934	7.472	0.002						699711.06	779886.06	837028.11	931567.13	897540.99	144949.71	165336.81	164442.36	156951.37	162063.09	486815.89	539715.72	493293.86	190547.38	202843.34	217517.98	233445.96	225420.11	2	2	1705.58	3958.21	6952.16	481236.88	495381.33	515556.3	529781.47	537733.16	553920.37	560573.49	683285.7	1108134.82	2008107.51	820910.72	1449503.21
127	284.0683	285.0757	6.287	0.84	35	0	170560	0	0	100	396675	2.7	99.98	284.0683	2	3	1	6.285	0.03	0.093	8627	163523	974847	0	0	0	20873	385911	2373640	284.0684	6.285	0						500660.4	491808.16	648969.34	381184.99	396675.17	80197.57	82241.55	197694.1	155000.37	510084.71	141151.05	178540.84	120091.32	75245.19	2373640.77	1088898.85	249249.53	88002.49	41177.69	70248.63	59630.1	20873.27	60593.13	394516.49	409276.78	406611.95	417792.93	417239.94	420536.89	424196.5	427777.02	714355.09	534861.41	529379.41	398501.94
128	174.1118	175.1192	0.877	0.76	35	0	212320	0	5.4	100	418140	1.1	91.92	174.1118	3	4	1	0.877	0.011	0.069	7576	202869	697859	0	0	0	14720	411187	1446642	174.1116	0.875	0.003						644674.82	627291.94	654293.45	647967.88	756301.36	33228.01	70391.25	427727.82	465374.06	190662.56	1446642.74	1170183.24	1429818.82	51840.61	23568.21	14720.75	21284.79	18344.41	501845.37	306748.12	432505.19	462574.8	362279.84	418053.78	422791.84	422464.85	429547.51	424900.54	413447.14	418140.79	66625.91	91894.54	83116.29	402747.92	37577.67
129	378.2881	379.2956	7.408	0.94	35	0	310201	0	2.2	100	1166766	0.4	99.94	378.2881	3	3	1	7.407	0.036	0.156	129671	313669	470976	0	0	0	536153	1146548	1684789	378.2882	7.401	0.005						850119.04	1007278.92	960036.21	902350.39	893451.64	1420337.13	1537820.02	1684789.33	1309984.23	1666996.7	536153.63	542786.91	597304.21	965027.49	1433660.73	1094844.89	1256294.47	1320237.38	1280774.13	1294705.04	1341576.97	1290120.82	1636049.45	1112270.63	1148343.66	1166766.31	1191687.89	1213457.62	1235742.87	1253327.64	954076.29	1003007.79	899891.71	1012814.18	1115105.51
130	633.7444	634.7533	10.548	4.57	35	0	248869	0	11.4	100	964780	11	91.93	633.7454	2	2	1	10.546	0.039	0.156	20671	222028	447201	0	0	0	83448	843180	1718686	633.7454	10.546	0.001						1006918.04	861841.2	1529073.29	970416.34	364891.19	871646.29	1718686.52	241634.38	1170865.63	166412.27	1180886.89	570630.67	1607811.79	83448.95	748079.45	1132471.49	361359.97	701693.53	619891.73	753870.17	1194272.31	891429.98	1162506.26	964780.05	972522.08	327307.65	1026654.35	1050736.98	1075298.2	1089441.87	241121	284985.97	413931.58	1063540.92	1090263.22
131	666.2213	684.2555	1.001	1.16	35	0	305041	0	9	100	956364	11.3	99.93	666.2214	3	7	1	1.003	0.064	0.125	3570	217811	490345	0	0	0	8271	701508	1721316	666.2216	1.004	-0.001						1621295.31	1656519.85	1628097.31	1703032.95	1721316.6	8577.82	8334.33	17522.94	12879	14089.49	1002969.07	956364.57	969191.9	9437.39	10881.22	18553.83	15483.23	8271.33	16345.93	19415.83	15576.59	12894.64	17903.03	1025946.22	1064027.89	1087114.48	1071334.63	1101141.48	1104226.38	1097012.52	1619285.89	1342716.74	562086.43	1650145.93	362808.6
132	560.7022	561.7017	10.636	2.92	35	0	216822	0	6.6	100	798389	6.2	91.92	560.7026	2	2	1	10.634	0.029	0.137	20543	201251	344451	0	0	0	79077	744209	1314863	560.7027	10.632	0.002						840520.43	735868.07	1194475.91	812821.44	441334.07	744311.76	1314863.88	233639.24	954962.2	154295.61	945499.36	518422.25	1237417.12	79077.65	649888.05	918959.59	435591.5	616222.66	536698.75	655020.67	985189.3	754821.6	962387.59	798389.15	832494.39	742060.57	846796.47	869317.94	887822.27	901069.83	223486.15	703169.42	716861.81	894046.47	909532.35
133	342.116	360.15	0.995	0.65	35	0	493422	0	7.6	100	1333009	3.3	99.75	342.1159	7	9	1	1.001	0.067	0.137	47534	365946	787919	0	0	0	133256	1282367	3220819	342.1161	0.939	0.062						3063283.53	2749350.6	2960505.99	3220819.82	3146176.22	215268.97	186381.44	235511.93	194377.96	244151.88	1333009.9	1348650.19	1332848.29	169423.33	143508.62	186392.06	173894.44	163742.44	156244.86	156675.66	146018.16	133256.01	199679.45	1481217.47	1470454.44	1508058.96	1563025.52	1639663.65	1491623.54	1613608.59	2301322.63	3030575.03	3139861.92	2455607.61	1328665.14
134	516.0077	517.0151	10.69	0.88	35	0	148743	0	2.2	100	562328	1.1	91.92	516.0077	2	2	1	10.688	0.026	0.137	15070	138144	247455	0	0	0	55096	518863	921258	516.0078	10.686	0.002						562328.73	490662.19	792858.82	565032.49	325642.89	489960.22	841219.6	176013.07	663327.67	113163.79	642039.52	351246.93	791657.52	55096.06	420164.31	608925.5	317428.77	427711.01	372344.8	463996.85	642658.84	515793.36	662858.68	519919	547909.61	563891.06	586222.06	599376.59	589271.77	624678.59	154661.79	541559.72	921258.59	622974.56	596350.06
135	122.0476	123.0556	2.066	0.92	35	0	36136	0	3.9	100	218555	5.1	91.92	122.0476	1	2	1	2.068	0.028	0.168	9588	61562	317401	0	0	0	61259	358203	1811526	122.048	2.067	0						144045.4	432264.92	292841.52	237291.44	100373.32	125121.96	102202.71	101806.21	100264.68	117376.92	1766026.7	1516073.76	1811526.25	95923.42	207815.79	61259.46	121092.05	139897.76	138009.08	207060.99	111138.18	218555.8	254819.13	382359.7	396446.36	413197.89	423418.02	427184.8	428715.42	432440.76	207853.84	196152.25	369211.13	224493.01	232876.75
136	1068.5483	1069.5579	8.219	1.04	35	0	249169	0	6.5	100	858454	2.7	99.98	1068.5481	4	4	1	8.217	0.036	0.168	13417	196588	469192	0	0	0	40316	758970	1961835	1068.5505	8.217	0						1596333.14	1660809.56	1529978.38	1693215.93	1740811.4	62874.11	70693.53	107173.96	139880.75	93401.87	75607.67	62449.83	66653.34	40316.34	1961835.57	74095.43	73849.62	93389.25	148381.95	122070.59	68100.28	52148.89	122095.4	858454.34	898639.12	913168.46	940368.18	923219.52	936898.63	963822.14	1676555.52	1720347.3	1687903.24	1780010.01	1608408.37
137	132.0244	150.0584	1.457	0.75	35	0	86369	0	0	100	373657	0.4	91.86	132.0244	3	3	1	1.458	0.02	0.149	15522	111860	292406	0	0	0	81218	469301	1203499	132.0245	1.449	0.008						276833.3	315681.87	283613.27	339523.28	373657.12	1021801.45	822848.46	1184384.74	1203499.7	1190046.02	689035.98	698148.32	776020.91	778202.93	155936.93	236082.48	286902.92	229010.35	408510.59	261126.47	318703.58	266867.64	326071.17	430788.14	436453.34	440387.06	441062.74	441736.51	449761.01	440318.36	301323.08	81218.07	169855.19	252251.87	97871.82
138	481.3167	482.3242	11.028	0.89	35	0	78296	0	0	100	252273	0.6	99.97	481.3167	3	5	1	11.026	0.03	0.125	17862	98267	473537	0	0	0	58232	318198	1594558	481.3168	11.027	-0.001						450224.62	367053.13	238353.98	591486.68	415131.65	170917.3	125506.25	107104.29	100062.12	144790.04	981055.47	1594558.31	477218.87	305324.53	440465.81	280389.48	211762.8	274113.13	252273.33	231806.32	161293.7	128886.51	212092.95	339514.53	298643.5	259839.36	235439.97	236461.96	230280.27	232336.48	254847.71	284174.65	157695.36	287592.61	58232.4
139	406.2312	407.2387	4.305	2.05	35	0	66946	0	13.5	100	374062	10	91.92	406.2314	1	2	1	4.299	0.088	0.193	11034	67248	213759	0	0	0	54418	358535	1170055	406.2314	4.301	-0.002						592641.84	536019.98	563499.05	586445.96	527117.63	54418.7	58426.96	81481.96	60841.68	70785.84	68351.17	103715.16	96581.35	68617.42	799621.69	938203.53	70291.9	57538.35	101423.19	89883.09	110343.42	91325.21	124577.68	360930.8	377141.37	374062.59	381478.08	387600.72	389883.45	397299	584916.14	831444.4	874473.52	567317	1170055.8
140	590.0527	591.0612	10.6	3.81	32	3	213428	0	11.1	100	813950	8.4	91.89	590.0532	2	2	1	10.597	0.029	0.143	20367	197537	360560	0	0	0	73656	751704	1392745	590.0536	10.597	0						858053.6	737924.46	1238821.33	803623.39	391588.6	746505.53	1392745.38	226531.72	988921.11	150532.25	979656.64	503128.68	1290780.7	73656.54	648377.13	939468.72	373398.61	614367.03	530147.89	643500.51	997622.56	742485.68	977515.97	803426.24	824276.95	2	865370.16	877264.99	901781.33	906006.99	212260.14	2	2	900607.05	914209.09
141	575.3769	576.3857	10.615	2.66	35	0	222295	0	4.4	100	831022	7.1	91.85	575.3773	2	2	1	10.615	0.102	0.143	19518	200140	368658	0	0	0	79979	751479	1412562	575.3782	10.614	0.001						889027.75	763144.01	1272993.1	852914.43	446177.65	780716.49	1412562.42	241656.79	1001265.65	162962.56	1006628.31	528543.17	1316525.24	79979.92	680391.02	962742.96	434264.23	636004	550940.81	679815.22	1018269.94	767194.68	1012000.45	831022.79	869050.56	624615.17	885775.08	902189.65	942347.38	942322.51	230109.73	603823	93199.42	930961.89	949632.67
142	408.2879	426.3215	8.191	1.99	33	2	452563	0	0.1	100	1085744	16.1	91.93	408.288	1	4	1	8.19	0.047	0.137	345	531188	1772009	0	0	0	1304	1369288	4878659	408.2876	8.188	0.002						2	1304.96	2	1783.9	1327.95	1318921.76	937790.85	420346.14	2793103.92	1380854.6	3553.4	4127.33	5598.45	4878659.49	1821747.21	1143724.1	741398.55	3523394.55	4292389.08	3824971.19	2573598.72	4849108.75	2802260.08	1017281.07	1058787.56	1085744.46	1120031.38	1173885.17	1189752.87	1211485.72	1409.94	1719.24	2011.59	1486.82	2963.45
143	159.126	160.1332	1.026	1.06	35	0	11697	0	6.3	100	29927	7.4	91.93	159.126	1	2	1	1.027	0.022	0.093	1622	83437	516658	0	0	0	4478	202833	1241586	159.1259	1.02	0.006						10384.99	8010.68	10168.16	9421.19	8083.04	742783.67	843847.27	1026654.99	780012.4	1056617.3	10767.42	9389.98	10913.61	67073.56	20844.97	33694.27	27287.91	1241586.77	33894.56	24891.46	29927.68	36458.31	23470.94	140068.02	136534.34	143395.36	143411.93	133865.7	139974.42	137553.3	5740.98	7284.66	16896.53	4478.39	23780.57
144	648.0859	649.0867	10.534	4.35	35	0	188986	0	8.9	100	729731	10.1	91.59	648.0869	2	2	1	10.532	0.026	0.162	14845	178632	344564	0	0	0	62564	672801	1344343	648.0864	10.53	0.002						771024.99	658911.94	1199264.7	741825.98	329479.27	674641.42	1344343.37	185324.71	909178.89	124291.75	903016.7	426974.57	1260136.88	62564.79	579755.82	869587.76	328128.97	547564.02	471495.17	573682.94	925815.85	685012.92	895090.89	729731.85	742656.58	445637.39	785742.81	808615.01	842543.69	838215.12	177958.44	382184.29	666798.95	819021.03	841833.23
145	406.2717	424.3058	8.178	2.03	29	6	106296	0	4.8	100	258333	15.6	99.97	406.2718	1	6	1	8.178	0.068	0.112	350	122973	592051	0	0	0	1196	310446	1525566	406.2719	8.176	0.001						2	2	2	2	2	255108.46	124697.6	99943.41	355865.86	256965.39	4671.63	5952.47	6891.96	367736.71	455252.28	307722.86	149211.91	391586.25	770268.32	749481.25	436061	1525566.04	855114.17	246433.57	258333.32	256910.27	269211.81	274867.69	282884.64	288424.69	2173.55	1196.11	2194.34	2	2213.14
146	310.1528	311.1601	3.791	0.77	35	0	248462	0	0	100	609367	0.9	99.8	310.1528	3	3	1	3.789	0.016	0.156	35828	257914	725742	0	0	0	88427	621205	1689377	310.1528	3.788	0.001						375732.28	584762.36	370055.03	560103.76	450363.03	464282.56	442040.49	320958.79	289398.05	384890.12	785300.05	772895.32	792441.8	650297.34	842994.68	1251945.97	1083485.27	788058.83	205728.37	209994.75	358177.31	88427.47	281969.2	609367.53	622467.42	642226.88	635230.37	643534.58	652714.92	661647.83	1036916.99	1272553.21	517737.68	1689377.49	404111.7
147	140.0586	141.0659	1.048	1.02	35	0	29585	0	13.6	100	161130	12.3	91.93	140.0585	1	2	1	1.046	0.056	0.149	1998	47561	244978	0	0	0	12602	213501	1002442	140.0586	1.049	-0.003						13752.87	13647.56	13021.97	13129.32	12602.54	530090.73	161130.3	312107.1	215896.8	506398.19	49711.32	35645.13	33653.9	561469.97	1002442.56	81491.18	388032.19	89159.19	85033.15	46279.22	74100.17	88921.2	112854.44	212247.09	209667.45	209016.33	200527.55	204565.96	193912.87	203899.93	126120.66	326328.67	365569.62	103111.73	677029.8
148	129.0793	130.0862	1.001	1.24	35	0	54446	0	27.2	100	343658	8.4	91.26	129.0793	3	7	1	1.009	0.146	0.168	24739	83939	247059	0	0	0	195524	393647	833256	129.0792	1.002	0.007						218168.07	217510.95	218112.31	221976.21	236101.82	807806.28	675647.84	745428.22	713426.67	756795.13	445584.01	485892.98	453599.28	732442.87	212827.75	327135.64	343658.69	833256.25	336057.67	279313.59	347437.83	281255.93	273385.61	353334.7	361488.78	361058.32	359514.33	338891.8	357484.79	367594.05	250236.94	195524.65	224223.65	233415.71	212066.72
149	1883.2017	943.1128	10.549	4.04	33	2	268544	0	15	100	1102996	12.6	99.94	1883.2036	3	5	1	10.546	0.039	0.174	19346	256830	550949	0	0	0	97108	1034927	2239323	1883.2059	10.546	0						1141866.17	951861.99	1830077.35	1102996.59	403285.76	1008424.34	2239323.77	279277.93	1435981.43	198024.32	1398502.38	638654.76	2059287.72	97108.37	867659.37	1339722.41	406665.27	823698.91	715750.78	883628.49	1442151.99	1024372.15	1422686.99	1086016.53	1131396.92	2	1198337.64	1226059.45	1274491.25	1288354.66	252200.49	2	553599.85	1206399.02	1224740.19
150	912.5077	913.5151	7.826	0.99	35	0	294061	0	0	100	888683	1.5	99.97	912.5078	4	5	1	7.824	0.031	0.143	10414	218782	413418	0	0	0	25247	678198	1340937	912.5084	7.823	0.001						1217778.57	1217003.33	1176498.74	1244885.55	1239902.26	43426.28	41054.18	71988.2	73089.4	58428.2	951373.13	880162.85	888683.29	37150.08	1228171.51	82400.53	82114.59	79511.78	45954.33	54497.37	28066.75	25247.66	39856.23	859224.1	884898.44	911048.03	913197.85	920906.57	933321.19	954989.06	1271064.78	1311593.31	1310938.8	1317566.64	1340937.16
151	468.2848	469.2925	10.154	2.06	33	2	114773	0	0	100	371386	18.5	99.76	468.285	1	5	1	10.154	0.055	0.137	652	115674	522177	0	0	0	2252	376368	1775697	468.2851	10.151	0.003						4142.13	4377.93	13848.91	2796.74	2670.53	463544.95	764680.91	288572.79	579674.32	513883.85	5415.68	2	2	540303.51	586626.14	361382.4	215255.58	327874.03	895956.79	1775697.43	1022974.04	190161.27	994059.1	371386.76	376184.34	389833.2	380237.08	397561.55	400262.38	409629.59	2252.24	70149.8	23602.69	3206.24	41970.7
152	314.2456	315.2528	8.655	0.96	35	0	155519	0	0	100	417846	1.2	91.93	314.2456	4	5	1	8.653	0.025	0.118	7809	153574	373849	0	0	0	20919	408134	1015090	314.2457	8.652	0.001						51638.09	45887.17	27845.78	46224.01	46567.19	997725.57	768151.21	801766.7	786113.59	1015090.88	516744.72	405979.28	496035.83	740548.26	920603.83	936516.67	720510.57	398938.7	247233.78	175552.14	272804.91	197169.98	196756.25	417846.53	433877.57	456194.93	469632.27	471903.35	494434.78	487987.94	73946.6	32140.73	25568.72	87837.5	20919.27
153	125.0147	126.0218	0.876	0.86	35	0	201139	0	2.9	99.45	464608	0.1	64.52	125.0147	3	5	1	0.877	0.009	0.1	16089	191120	471303	0	0	0	38257	450650	1155581	125.0146	0.875	0.003						94651.54	80081.99	110488.47	77017.98	83461.42	716845.11	1155581.99	453619.26	754822.68	697030.61	255698.06	218432.49	237482.5	921274.81	1036316.97	714693.83	942442.03	1056906.94	519614.68	636669.96	452431.45	432606.99	470957.16	457089.13	472842.83	493235.52	464608.21	472978.98	466972.11	466784.13	42112.61	58480.15	76761.98	38257.82	143504.27
154	484.2799	485.2874	9.851	1.13	35	0	95264	0	0	100	274153	3	99.96	484.2799	4	7	1	9.853	0.035	0.125	10347	110910	428808	0	0	0	30332	329985	1296825	484.28	9.851	0.002						161057.8	78030.83	271297.67	260090.97	193608.04	357192.35	742558.31	279840.16	576072.16	542474.7	74759.79	126167.91	111692.95	370888.91	274153.58	243599.01	177014.28	265241.55	745093.08	1296825.18	536667.48	220822.69	891407.18	322246.79	343800.61	352927.72	364097	372340.74	379688.65	390641.65	30332.49	48472.61	57204.42	38924.52	52247.93
155	287.2824	288.2897	8.56	1.07	35	0	105833	0	0	100	262766	9.2	99.99	287.2824	1	3	1	8.558	0.025	0.106	1948	140182	700265	0	0	0	4321	350171	1757496	287.2823	8.557	0.001						287893.15	24694.98	244579.54	292221.94	375200.41	276849.27	251814.57	114772.48	5194.42	310499.95	672565.37	304452.56	4321.41	305593.23	261796.34	7602.4	1115358.44	1690529.76	372562.6	259297.43	281206.08	1757496.03	316118.68	264920.72	258085.87	253623.24	251672.75	258957.99	262766.98	263481.05	97218.12	255442.77	145002.01	17414.77	394780.84
156	270.1323	271.1407	2.801	0.86	35	0	166027	0	6.1	100	456245	1	91.91	270.1323	2	3	1	2.801	0.015	0.106	25272	191977	580880	0	0	0	70553	522612	1585685	270.1328	2.8	0.001						430115.38	418406.23	367648.77	456752.43	505066.45	289651.58	324470.29	354695.1	205219.41	254451.34	1430800.63	1539558.39	1585685.02	390697.73	456245.21	461432.37	444351.48	599191.6	121029.56	168966.76	276438.7	70553.06	157732.13	560252.72	569611.22	590739	595706.99	609644.19	617214.44	617834.37	367431.32	587470.36	611058.11	355713.37	899606.65
157	283.2871	284.295	12.863	0.79	35	0	222551	0	3.4	100	502590	0.7	99.98	283.2871	3	4	1	12.862	0.016	0.1	34488	305935	801017	0	0	0	83689	685298	1797131	283.2876	12.861	0.001						730995.24	912427.33	1441728.75	384092.92	462822.44	514608.33	1192031.87	1598504.41	1195464.61	232017.29	992453.24	1186276.73	1797131.95	83689.68	823184.93	622740.8	202449.36	386392.05	359145.83	1020333.67	580727.31	520707.02	1002885.88	490870.46	484805.59	464643.51	462719.84	479706.73	483026.5	502590.59	208715.18	469276.27	976294.38	434428.34	285548.74
158	1176.8739	1177.8874	9.565	5.77	18	17	79766	0	7.4	100	161693	17.5	100	1176.8755	1	7	1	9.559	0.042	0.075	78	139532	374566	0	0	0	44	310028	921104	1176.8779	9.557	0.002						2	2	2	2	44.88	300114	723339.91	437639.46	404283.44	553246.68	2	2	2	680994.54	422898.29	13193.63	31252.04	921104.79	2	2	2	2	2	145570.66	149922.09	159196.81	153934.89	160391.52	160623.13	162764.14	2	2	2	2	2
159	648.4194	649.4203	10.534	4.7	35	0	196917	0	7.3	100	733367	11.5	91.91	648.4205	2	2	1	10.532	0.026	0.143	16018	183861	355120	0	0	0	63488	676312	1349980	648.4209	10.531	0.001						769405.56	670307.2	1196502.26	755882.91	335508.85	673594.85	1349980.32	186378.4	908247.43	128268.14	920828.08	439631.89	1256287.16	63488.85	573436.8	863828.93	326989.76	550406.49	484530.84	581884.13	925712.62	686586.17	908079.17	733367.94	759691.8	441745.23	788257.83	817416.04	836750.08	841389.9	178991.66	385381.06	669126.91	823712.51	839340.53
160	811.4358	812.4425	8.738	1.12	35	0	115634	0	0	100	435728	1.2	99.97	811.4357	3	3	1	8.74	0.034	0.149	27313	136964	489190	0	0	0	102241	502680	1796941	811.4354	8.74	0						421475.91	856740.79	306074.69	411347.85	561783.84	111736.3	143804.51	390677.45	197852.6	272969.11	146767.19	102241.92	137041.79	244753.24	659449.5	1168910.63	1559688.17	580503.72	147182.36	194248.74	158911.19	435728.07	119058.14	439834.8	449165.1	460065.97	486158	479179.14	496675.59	493120.82	815784.12	277955.77	1796941.12	597517	1472454.96
161	416.1952	417.2027	4.845	4.92	32	3	2411	0	53.4	100	9076	28.8	99.99	416.1947	1	3	1	4.85	0.083	0.1	712	96067	566923	0	0	0	3103	238959	1437037	416.1947	4.849	0.001						3485.08	3506.62	3103.31	3564.78	2	4822.33	5564.88	8774.35	9275.05	9207.99	10149.96	2	10376.74	8945.99	4722.73	6380.93	6406.74	8229.2	1401438.27	1058252.85	1058232.93	1437037.43	1143559.55	205897.84	209344.75	201585.99	202406.18	202969	201809.54	203536.87	3647.31	3231.85	2	3335.15	3892.3
162	567.4199	568.4274	13.272	0.99	35	0	204340	0	0	100	625534	0.6	99.98	567.42	3	3	1	13.272	0.016	0.118	96408	244950	506934	0	0	0	278490	740792	1526070	567.4201	13.271	0.001						370685.7	427909.63	278490.42	402005.84	479730.26	1032442.43	707271.84	1317514.68	825555.07	1121457.85	770782.49	625534.72	364138.51	975767.79	884171.71	1182569.38	1053690.55	1526070.13	1163276.66	885509.51	864442.77	1489486.77	1020062.82	493767.04	538151.58	451908.94	624649.52	488944.82	552640.37	462327.72	346736.75	337542.22	1122293.67	358333.1	381884.83
163	145.1102	146.1176	1.505	0.92	35	0	130040	0	33.6	100	452719	5.1	91.93	145.1102	2	2	1	1.529	0.075	0.125	4899	128269	316890	0	0	0	13090	452467	1152457	145.1102	1.531	-0.002						21649.22	20319.67	19341.54	23301.11	22243.68	1044361.72	923358.9	1084135.76	838031.04	973408.73	19544.06	30846.49	24260.96	824734.82	155838.33	955592.33	877294.57	995059.85	1152457.98	167900.43	1101798.04	981305.1	237820.24	436050.92	452719.4	453302.46	470447.35	478616.51	481607.29	485769.78	17018.42	20316.67	15118.19	17685.04	13090.31
164	531.3518	532.3568	10.671	1.23	35	0	141840	0	12.1	100	538030	1.4	91.93	531.3519	2	2	1	10.669	0.024	0.125	13214	135315	241239	0	0	0	52421	498587	844499	531.352	10.668	0.001						549558.71	484064.65	760556.21	538030.64	306273.85	479748.48	835276.78	170517.5	631706.42	107367.98	622340.72	334878.29	766030.05	52421.52	430008.16	594107.18	304828.31	413383.09	356233.68	435684.82	630504.21	492555.19	636513.03	509544.51	522935.06	544194.57	560338.09	567908.12	567842.43	587738.68	144914.4	512969.93	844499.81	567967.25	587114.15
165	604.7281	605.7367	10.584	3.74	32	3	201515	0	0	100	755523	8.3	91.91	604.7286	2	2	1	10.582	0.024	0.143	16818	180631	339910	0	0	0	65563	687227	1298644	604.729	10.579	0.003						786348.67	676098.53	1165886.07	746841.04	279988.89	682192.07	1298644.02	198069.29	906732.32	129732.22	910796.2	454217.33	1216294.82	65563.78	586566.79	856179.92	285748.96	546911.13	480025.03	595091.93	923965.02	676541.81	903002.97	729547.5	764206.34	2	791169.42	808150.25	839253.28	845378.43	191890.87	2	2	818518.66	831712.74
166	287.2824	288.2897	8.401	1.28	35	0	142182	0	0	100	348324	8.5	99.99	287.2824	1	3	1	8.398	0.029	0.106	1862	161236	630732	0	0	0	4511	394314	1528849	287.2824	8.398	0						323056.31	13965.61	316917.46	344014.29	431647.44	360894.54	380905.02	198955.18	4511.44	380588.2	705710.3	351585.17	6555.85	405676.69	298948.48	5729.35	1131507.9	1528849.93	432371.47	343086.76	349822.07	1506117.18	367632.01	337478.82	343801.4	337758.35	348324.2	350594.78	353540.45	356168.92	139645.76	336327.99	185152.67	20538.78	502611.16
167	287.2824	288.2898	9.032	1.74	31	4	22459	0	14.5	100	87423	13.4	91.93	287.2823	1	2	1	9.022	0.092	0.137	367	38467	361368	0	0	0	701	152479	1149339	287.2824	9.033	-0.011						1682.86	1081.93	701.15	2	2522.41	66483.2	87423.38	119055.06	48118.4	111399.74	2639.39	2	2	134462.73	237730.33	209893.21	147519.54	111849.17	200676.52	193402.14	246601.11	189507.41	239361.44	92344.6	83262.84	75685.7	76191.48	73277.07	76505.17	78097.68	4516.08	47766.84	617773.17	2	1149339.72
168	516.3421	517.3496	10.69	0.92	35	0	122621	0	0	100	456994	0.7	91.93	516.3421	2	2	1	10.688	0.03	0.125	12938	114942	211643	0	0	0	47241	421972	766513	516.3422	10.686	0.002						464239.58	399926.5	639484.46	460001.06	259331.21	406337.36	687652.19	138639.9	533807.43	92869.69	525021.01	280964.53	648641.81	47241.28	346255.66	493286.25	268415.05	355269.93	300113.64	382270.51	513474.2	421145.51	538903.11	426536.8	433585.21	456994.22	467994.55	482708.97	476207.63	510287.12	128913.68	433392.91	766513.29	500666.69	481936.56
169	439.2692	440.2768	9.43	1.32	35	0	179329	0	0.6	100	516188	9.3	99.91	439.2691	1	5	1	9.426	0.043	0.118	1604	196519	535541	0	0	0	6345	576931	1614722	439.2699	9.428	-0.002						12900.88	12563.19	15400.24	23822.61	19597.25	808458	1192396.8	425006.17	996684.95	891853.02	7391.13	8240.1	6345.97	915479.74	1614722.49	1358883.69	625382.12	706476.79	1570648.01	1579676.18	1035723.44	389554.55	1297268.55	489707.35	511188.27	516188.74	538539.09	544271.56	546891.9	569578.89	51098.69	472383.12	137209.05	64260.89	236795.44
