row ID,row m/z,row retention time,OMICS_MHAE003_icMERS_12HRS_1_Lipid_027_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_12HRS_3_Lipid_037_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_12HRS_4_Lipid_022_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_0HRS_2_Lipid_007_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_0HRS_1_Lipid_041_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_48HRS_1_Lipid_013_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_48HRS_2_Lipid_031_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_0HRS_5_Lipid_002_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_48HRS_1_Lipid_049_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_0HRS_4_Lipid_005_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_12HRS_2_Lipid_050_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_36HRS_1_Lipid_053_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_36HRS_4_Lipid_023_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_24HRS_5_Lipid_004_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_0HRS_4_Lipid_034_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_0HRS_1_Lipid_057_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_36HRS_2_Lipid_033_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_24HRS_3_Lipid_040_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_24HRS_2_Lipid_039_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_48HRS_4_Lipid_035_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_0HRS_2_Lipid_059_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_36HRS_1_Lipid_009_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_36HRS_3_Lipid_021_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_48HRS_3_Lipid_014_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_48HRS_2_Lipid_001_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_12HRS_1_Lipid_038_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_24HRS_3_Lipid_058_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_36HRS_5_Lipid_003_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_36HRS_4_Lipid_008_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_12HRS_5_Lipid_055_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_24HRS_4_Lipid_029_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_36HRS_5_Lipid_045_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_48HRS_3_Lipid_052_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_0HRS_5_Lipid_015_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_12HRS_2_Lipid_032_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_48HRS_5_Lipid_046_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_12HRS_5_Lipid_020_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_48HRS_4_Lipid_010_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_48HRS_5_Lipid_019_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_24HRS_1_Lipid_044_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_24HRS_1_Lipid_056_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_24HRS_2_Lipid_025_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_24HRS_4_Lipid_047_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_12HRS_3_Lipid_028_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_24HRS_5_Lipid_017_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_0HRS_3_Lipid_016_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_12HRS_4_Lipid_051_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_36HRS_3_Lipid_011_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_36HRS_2_Lipid_043_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_0HRS_3_Lipid_026_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,
237,887.3154258971379,66.7538771851852,3934884.8676931756,2489992.3125899006,2294931.403150201,2115749.9968329477,3097774.804882047,0,4004336.7066879584,5684708.667209699,1737260.1156371431,1.2128833457738675E7,2.5679344585991208E7,5367161.874604757,7421937.095514082,2502706.911144192,3009447.7654133737,2566798.0375420838,1265570.106864894,1392357.2333711914,1.0619032339720199E7,3518724.3626002884,2035972.89946039,1.4192206115705831E7,0,5207114.281008385,5952997.5966040725,8468884.521043649,4872472.532922474,0,6952336.585473808,0,4288494.696176524,1342455.0384753176,1088175.4214711753,2574648.230775813,4106740.538811063,0,5601266.805736521,1.2784644597833917E7,2530689.54547111,3452520.295854148,3432284.2715815227,4563246.888447233,2820814.5720936772,4461287.84800965,5552645.087668955,6180820.872251022,3228176.2357066455,1.885024139940973E7,3200351.2904690364,1.0420713871725107E7,
238,766.5510016442355,50.11933012345676,5603286.7248973055,0,0,0,0,1657264.317048641,0,0,0,5805623.234292454,4418581.226945714,0,0,0,1421348.7614049264,1586740.3430152237,1089529.3084613,0,3334873.8432206605,0,1564801.9871543334,0,2321706.382763977,0,0,0,5264443.378771396,0,0,1173258.9000496215,0,0,4631365.428566264,0,7344105.735969165,0,8809778.375653736,4933668.701744545,5370977.711653312,5571564.069784883,5582565.791978919,0,5397558.752909075,6418691.539599297,6316230.887320304,5534727.681513952,5948475.112562471,7097409.607198728,5670264.117254228,9353790.03260587,
242,1124.759976761674,59.17289976190457,6048110.534132675,0,0,0,9494327.127637165,0,0,1.1704435478442825E7,0,0,0,0,0,0,0,0,6790620.094424011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2591272914069979E7,1.3504698439951636E7,0,0,0,0,0,0,0,0,0,1.27643538137564E7,0,0,
246,960.8901998547441,73.31663023809524,4853266.298451166,0,0,0,0,0,0,0,0,1.0637006625522703E7,0,0,0,0,0,0,0,0,1.983821797034168E7,0,0,5581558.88364374,0,1.3440007388974499E7,0,1.1566246266378012E7,5969576.517832549,0,0,0,1.1811536277679767E7,1.2015020499428524E7,0,0,9991978.008691419,0,7924001.543571633,0,7882884.923625778,1.3145922182688534E7,3479673.958069857,3710199.548160245,8773968.2954604,4142979.3351438083,6384373.108915429,7318691.7468477925,0,6378359.869511547,0,1881866.8736404416,
248,649.4628305201174,58.654974222222194,4414833.166498389,0,0,0,0,0,0,7348104.7480349345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4352255.751068545,0,0,4119074.204870849,8110139.007219433,0,0,7724694.270160914,7069371.490666345,0,8889868.8030047,0,9603272.393507207,0,0,6815431.564004035,0,9656452.414549448,7408259.33518771,0,0,0,8836397.390817782,0,7971299.77916557,1.097228141393986E7,
249,634.6381088329255,66.07102109929086,4264977.948498169,8856077.969229428,1.0362583942658871E7,1.3163904087106809E7,1.2708558306630282E7,1.8189461676888406E7,1.11543851093909E7,1.0330658115161115E7,1.0762851406008238E7,7507277.77561825,9951341.892756643,8175745.293832372,1.4726079459851393E7,1.0794429272817232E7,9836811.702472588,1.159352786032951E7,8930394.108616147,1.1213114290404541E7,8825230.178207029,1.4951708648249956E7,1.2958260975109773E7,1.1031789542375978E7,1.1551913415100154E7,1.4525366254755192E7,1.0517846196612632E7,7682741.242525386,1.22544052703082E7,6081426.461366736,9135971.177014215,1.161296849199019E7,1.2251949332327269E7,1.2662578820950812E7,1.5981829382765451E7,1.55077198586618E7,0,1.698781686356297E7,0,1.157532629141597E7,8424780.055004863,8013189.162443018,8385868.019685279,6931462.801072587,9763858.958176758,1.2642259499457106E7,7564442.132981645,1.1753976698681496E7,8529708.807810605,6299289.661366122,7420175.484463094,0,
253,778.5860615847488,59.624875476190496,6864111.2576349145,5506990.218446366,6219926.565303676,0,5618510.928388506,0,0,9602151.696912395,7178783.487166627,8789126.507769018,8041559.9872710705,9650314.592156943,0,2833514.464648216,0,5572672.944218746,4162790.547996967,0,6467482.982320301,7243663.343480076,0,9632556.64308994,0,1.0743774814030442E7,5837341.441075956,1.0181592927331092E7,0,5670681.094848424,1.1919516581218943E7,0,9525910.248292388,1.1190510998715214E7,1.2500903142505374E7,0,9318975.127368648,5367235.327382892,0,8136147.722067033,8472904.94506199,1.0932771323050424E7,9655689.472375255,0,1.099209212843858E7,8789718.420409871,0,1.0062858548554607E7,1.0284591691936716E7,0,1.1129146265440002E7,1.2236448684755024E7,
255,1194.810622535412,56.572875598290615,3923661.2349283476,3381742.9198701866,4343457.567534404,4889917.095431362,0,5718927.934416433,3480005.8558294787,3522383.209620983,0,5413650.061372918,4524139.020132731,4473724.27637566,5955053.226083922,0,4790219.821103499,4660434.353024853,3457192.0851459564,0,4627090.669829,3771493.6425206177,0,8728032.001038717,5157408.139648814,4280058.81226173,3716599.562137862,4949692.925807331,5337692.722074385,0,6084767.491364468,3327383.6885421555,0,0,2326441.258665326,5654863.5747831315,5131362.476005582,0,5333107.672027776,4984215.116633174,0,0,5519324.464824319,5752181.753063008,4042043.965787362,1398556.2791944435,5631771.850735739,5492171.3501519,3894682.608597429,4584067.900096408,4942388.403683032,5591983.926119471,
256,679.4460916063628,59.07215437037037,5105491.9180031875,1497714.670920202,0,1319694.4531919311,1105478.7105451217,1632167.55504292,4791686.732185658,5416902.417723201,1451454.6238063313,0,4650544.5508906655,6786940.595899662,1510191.3174526095,1006575.999141221,1391854.5362040177,1556421.409426341,1380494.3063191168,1548764.3472671707,3525647.5193723952,3452328.5050931824,0,5639553.213424442,1674954.7951811687,5534005.382126801,3822801.5035996,5351123.5800811285,6069010.0560219055,3961695.2965876386,7259868.46067378,1164267.1786849387,0,5546618.761250246,5545050.0024733655,1384539.3315829036,8083870.822070064,0,7969284.672445207,3839592.2619243944,5516935.044121088,6284850.790883442,6932385.790040639,9036525.160812853,6294958.913923147,5768958.127734204,6231127.335260351,5108117.133106801,7244288.973771901,8672367.495282989,6383847.445009683,8958989.023032032,
257,1452.126925399285,55.80595043859646,5622748.119685309,0,0,0,1.6444512471139751E7,0,0,0,1.1979532067374364E7,0,0,0,0,0,9638306.057461005,1.1824670555042747E7,0,0,0,1.1126024350371802E7,0,0,0,0,1.0401583293199502E7,0,0,7086154.9498856105,1.247517461335632E7,1.7291238573368564E7,0,8156707.636990881,0,1.8441861366741274E7,9169553.940858621,1.650885418040802E7,0,0,0,0,1.3193661112616729E7,9245395.396037215,0,0,1.3231871615348164E7,0,0,0,8477048.232543614,1.640023726834428E7,
